Rank	Prefix	Entity Name
1	P5	DPRK (NORTH KOREA)
2	3Y/B	BOUVET ISLAND
3	FT5/W	CROZET ISLAND
4	BS7H	SCARBOROUGH REEF
5	CE0X	SAN FELIX ISLANDS
6	BV9P	PRATAS ISLAND
7	KH7K	KURE ISLAND
8	KH3	JOHNSTON ISLAND
9	FT/G	GLORIOSO ISLAND
10	FT5/X	KERGUELEN ISLAND
11	3Y/P	PETER 1 ISLAND
12	YV0	AVES ISLAND
13	VK0M	MACQUARIE ISLAND
14	SV/A	MOUNT ATHOS
15	ZS8	PRINCE EDWARD & MARION ISLANDS
16	KH4	MIDWAY ISLAND
17	EZ	TURKMENISTAN
18	PY0S	SAINT PETER AND PAUL ROCKS
19	PY0T	TRINDADE & MARTIM VAZ ISLANDS
20	VP8S	SOUTH SANDWICH ISLANDS
21	KP5	DESECHEO ISLAND
22	YK	SYRIA
23	KH5	PALMYRA & JARVIS ISLANDS
24	JD/M	MINAMI TORISHIMA
25	XF4	REVILLAGIGEDO
26	KH1	BAKER HOWLAND ISLANDS
27	ZL9	NEW ZEALAND SUBANTARCTIC ISLANDS
28	FK/C	CHESTERFIELD ISLANDS
29	FT/T	TROMELIN ISLAND
30	VK0H	HEARD ISLAND
31	T31	CENTRAL KIRIBATI
32	VP8G	SOUTH GEORGIA ISLAND
33	ZL8	KERMADEC ISLAND
34	KH8/S	SWAINS ISLAND
35	KH9	WAKE ISLAND
36	VK9M	MELLISH REEF
37	CY0	SABLE ISLAND
38	FT/J	JUAN DE NOVA, EUROPA
39	TI9	COCOS ISLAND
40	3D2/C	CONWAY REEF
41	VK9W	WILLIS ISLAND
42	HK0/M	MALPELO ISLAND
43	KP1	NAVASSA ISLAND
44	H40	TEMOTU PROVINCE
45	FO/C	CLIPPERTON ISLAND
46	T33	BANABA ISLAND
47	VP8O	SOUTH ORKNEY ISLANDS
48	5A	LIBYA
49	XZ	MYANMAR
50	FT5Z	AMSTERDAM & ST PAUL ISLANDS
51	ZD9	TRISTAN DA CUNHA & GOUGH ISLANDS
52	7O	YEMEN
53	VU7	LAKSHADWEEP ISLANDS
54	T5	SOMALIA
55	E5/N	NORTH COOK ISLANDS
56	ZK3	TOKELAU ISLANDS
57	3C0	ANNOBON
58	1S	SPRATLY ISLANDS
59	R1F	FRANZ JOSEF LAND
60	3B7	AGALEGA & ST BRANDON ISLANDS
61	C21	NAURU
62	VU4	ANDAMAN & NICOBAR ISLANDS
63	T2	TUVALU
64	JX	JAN MAYEN
65	VP6/D	DUCIE ISLAND
66	FO/M	MARQUESAS ISLANDS
67	3D2/R	ROTUMA
68	KH8	AMERICAN SAMOA
69	9U	BURUNDI
70	T30	WESTERN KIRIBATI
71	S2	BANGLADESH
72	H4	SOLOMON ISLANDS
73	4W	TIMOR-LESTE
74	CE0Z	JUAN FERNANDEZ ISLANDS
75	Z6	REPUBLIC OF KOSOVO
76	4U1UN	UNITED NATIONS HQ
77	8R	GUYANA
78	VK9L	LORD HOWE ISLAND
79	FO/A	AUSTRAL ISLANDS
80	VP6	PITCAIRN ISLAND
81	TN	REPUBLIC OF THE CONGO
82	TL	CENTRAL AFRICAN REPUBLIC
83	5U	NIGER
84	E3	ERITREA
85	CY9	SAINT PAUL ISLAND
86	TT	CHAD
87	TJ	CAMEROON
88	ZD7	SAINT HELENA
89	3C	EQUATORIAL GUINEA
90	VK9C	COCOS (KEELING) ISLAND
91	V6	MICRONESIA
92	VQ9	CHAGOS ISLANDS
93	VK9X	CHRISTMAS ISLAND
94	E6	NIUE
95	ET	ETHIOPIA
96	A5	BHUTAN
97	XX9	MACAO
98	1A0	SOV MILITARY ORDER OF MALTA
99	T32	EASTERN KIRIBATI
100	FW	WALLIS & FUTUNA ISLANDS
101	EP	IRAN
102	YJ	VANUATU
103	Z8	REPUBLIC OF SOUTH SUDAN
104	FH	MAYOTTE
105	ZL7	CHATHAM ISLAND
106	9L	SIERRA LEONE
107	ST	SUDAN
108	CE0Y	EASTER ISLAND
109	XU	CAMBODIA
110	XW	LAOS
111	S0	WESTERN SAHARA
112	3XA	GUINEA
113	9Q	DEM. REP. OF THE CONGO
114	V8	BRUNEI
115	5N	NIGERIA
116	P2	PAPUA NEW GUINEA
117	A3	TONGA
118	V7	MARSHALL ISLANDS
119	HV	VATICAN CITY
120	J5	GUINEA-BISSAU
121	A2	BOTSWANA
122	J8	SAINT VINCENT
123	E4	PALESTINE
124	VP8H	SOUTH SHETLAND ISLANDS
125	JD/O	OGASAWARA
126	FJ	SAINT BARTHELEMY
127	J2	DJIBOUTI
128	D6	COMOROS
129	VK9N	NORFOLK ISLAND
130	9N	NEPAL
131	PY0F	FERNANDO DE NORONHA
132	T8	PALAU
133	KG4	GUANTANAMO BAY
134	TU	COTE D'IVOIRE
135	5V7	TOGO
136	E5/S	SOUTH COOK ISLANDS
137	TY	BENIN
138	FP	SAINT PIERRE & MIQUELON
139	VP2V	BRITISH VIRGIN ISLANDS
140	YI	IRAQ
141	7P	LESOTHO
142	C9	MOZAMBIQUE
143	PJ5	SABA & ST EUSTATIUS
144	5X	UGANDA
145	9X	RWANDA
146	Z2	ZIMBABWE
147	EL	LIBERIA
148	SU	EGYPT
149	4U1ITU	ITU HQ
150	TZ	MALI
151	PJ7	SINT MAARTEN
152	8Q	MALDIVES
153	3DA	KINGDOM OF ESWATINI
154	7Q	MALAWI
155	KH0	MARIANA ISLANDS
156	AP	PAKISTAN
157	HK0S	SAN ANDRES ISLAND
158	HC8	GALAPAGOS ISLANDS
159	XT	BURKINA FASO
160	FO	FRENCH POLYNESIA
161	YA	AFGHANISTAN
162	3A	MONACO
163	UJ	UZBEKISTAN
164	3V	TUNISIA
165	S9	SAO TOME & PRINCIPE
166	ZC4	UK BASES ON CYPRUS
167	YN	NICARAGUA
168	5H	TANZANIA
169	EY	TAJIKISTAN
170	3W	VIET NAM
171	EK	ARMENIA
172	ZD8	ASCENSION ISLAND
173	5W	SAMOA
174	D2	ANGOLA
175	YS	EL SALVADOR
176	VP8	FALKLAND ISLANDS
177	5R	MADAGASCAR
178	4S	SRI LANKA
179	VP2M	MONTSERRAT
180	9J	ZAMBIA
181	EX	KYRGYZSTAN
182	HH	HAITI
183	OJ0	MARKET REEF
184	VP9	BERMUDA
185	FS	SAINT MARTIN
186	3B9	RODRIGUEZ ISLAND
187	S7	SEYCHELLES ISLANDS
188	J3	GRENADA
189	C5	THE GAMBIA
190	JY	JORDAN
191	3D2	FIJI ISLANDS
192	ZB2	GIBRALTAR
193	HR	HONDURAS
194	6Y	JAMAICA
195	CP	BOLIVIA
196	FR	REUNION ISLAND
197	6W	SENEGAL
198	ZA	ALBANIA
199	JT	MONGOLIA
200	4J	AZERBAIJAN
201	9M6	EAST MALAYSIA
202	3B8	MAURITIUS ISLAND
203	V4	SAINT KITTS & NEVIS
204	TR	GABON
205	C6A	BAHAMAS
206	V2	ANTIGUA & BARBUDA
207	JW	SVALBARD
208	VP5	TURKS & CAICOS ISLANDS
209	7X	ALGERIA
210	A9	BAHRAIN
211	9G	GHANA
212	9V	SINGAPORE
213	CE9	ANTARCTICA
214	OY	FAROE ISLANDS
215	FY	FRENCH GUIANA
216	FK	NEW CALEDONIA
217	J7	DOMINICA
218	T7	SAN MARINO
219	TG	GUATEMALA
220	C31	ANDORRA
221	VP2E	ANGUILLA
222	5T	MAURITANIA
223	V5	NAMIBIA
224	A7	QATAR
225	KH2	GUAM
226	5Z	KENYA
227	VR	HONG KONG
228	OX	GREENLAND
229	PZ	SURINAME
230	D4	CAPE VERDE
231	OA	PERU
232	9M2	WEST MALAYSIA
233	DU	PHILIPPINES
234	HB0	LIECHTENSTEIN
235	FM	MARTINIQUE
236	4L	GEORGIA
237	HP	PANAMA
238	PJ4	BONAIRE
239	J6	SAINT LUCIA
240	PJ2	CURACAO
241	BU	TAIWAN
242	4O	MONTENEGRO
243	ZF	CAYMAN ISLANDS
244	9H	MALTA
245	FG	GUADELOUPE
246	OH0	ALAND ISLANDS
247	ZP	PARAGUAY
248	9Y	TRINIDAD & TOBAGO
249	SV5	DODECANESE
250	GU	GUERNSEY
251	GD	ISLE OF MAN
252	EA9	CEUTA & MELILLA
253	Z3	NORTH MACEDONIA
254	VU	INDIA
255	UA2	KALININGRAD
256	V3	BELIZE
257	TI	COSTA RICA
258	8P	BARBADOS
259	OD	LEBANON
260	TK	CORSICA
261	P4	ARUBA
262	GJ	JERSEY
263	HS	THAILAND
264	CN	MOROCCO
265	HZ	SAUDI ARABIA
266	ER	MOLDOVA
267	A6	UNITED ARAB EMIRATES
268	HC	ECUADOR
269	A4	OMAN
270	SV9	CRETE
271	KP2	US VIRGIN ISLANDS
272	HI	DOMINICAN REPUBLIC
273	9K	KUWAIT
274	HL	REPUBLIC OF KOREA
275	CO	CUBA
276	KH6	HAWAII
277	BY	CHINA
278	TF	ICELAND
279	CX	URUGUAY
280	IS0	SARDINIA
281	XE	MEXICO
282	KL7	ALASKA
283	UN	KAZAKHSTAN
284	TA	TURKEY
285	HK	COLOMBIA
286	CE	CHILE
287	5B	CYPRUS
288	CT3	MADEIRA ISLANDS
289	YB	INDONESIA
290	ZL	NEW ZEALAND
291	EA6	BALEARIC ISLANDS
292	ZS	REPUBLIC OF SOUTH AFRICA
293	LX	LUXEMBOURG
294	CU	AZORES
295	GI	NORTHERN IRELAND
296	KP4	PUERTO RICO
297	YV	VENEZUELA
298	GW	WALES
299	ES	ESTONIA
300	EU	BELARUS
301	YL	LATVIA
302	4X	ISRAEL
303	E7	BOSNIA-HERZEGOVINA
304	EI	IRELAND
305	LU	ARGENTINA
306	YT	SERBIA
307	OM	SLOVAK REPUBLIC
308	VK	AUSTRALIA
309	LY	LITHUANIA
310	GM	SCOTLAND
311	EA8	CANARY ISLANDS
312	CT	PORTUGAL
313	LA	NORWAY
314	OZ	DENMARK
315	YO	ROMANIA
316	LZ	BULGARIA
317	SV	GREECE
318	HB	SWITZERLAND
319	UA0	ASIATIC RUSSIA
320	9A	CROATIA
321	OE	AUSTRIA
322	OH	FINLAND
323	SM	SWEDEN
324	PY	BRAZIL
325	S5	SLOVENIA
326	OK	CZECH REPUBLIC
327	HA	HUNGARY
328	ON	BELGIUM
329	PA	NETHERLANDS
330	UR	UKRAINE
331	VE	CANADA
332	G	ENGLAND
333	JA	JAPAN
334	SP	POLAND
335	F	FRANCE
336	UA	EUROPEAN RUSSIA
337	EA	SPAIN
338	I	ITALY
339	DL	FEDERAL REPUBLIC OF GERMANY
340	K	UNITED STATES OF AMERICA